brand|cpu|graphics|hd|lastUpdated|link|model|price|ram|screenSize|store|title|upc
Acer|Intel Ci7-6500U||500|2019-09-28 07:08|https://www.frys.com/product/9537552?site=sr:SEARCH:MAIN_RSLT_PG|SNO-NX.VBEAA.003|499|8|14.0|Fry's|"Acer Travelmate TMP248-M-76YA 14'" Laptop with Intel Ci7-6500U Processor,8GB Memory, 500GB Hard Drive, Windows 7 Pro Downgrade right to Windows 10"|888863509287
Alienware|""||256|2019-09-28 07:08|https://www.frys.com/product/8627470?site=sr:SEARCH:MAIN_RSLT_PG|AW17R3-4175SLV|1199|""|17.3|Fry's|Dell AW17 Ci7-6700HQ 17.3 Measured Diagonal 16GB,1TB+256GB SSD GTX 970M 3G, Win10|884116203223
HP|AMD Quad Core E2||""|2019-09-28 07:08|https://www.frys.com/product/8837792?site=sr:SEARCH:MAIN_RSLT_PG|14-an010nr|199|4|14.0|Fry's|"HP 14-an010nr, 14'" Laptop With AMD Quad Core E2 Processor, 4GB Memory, 32GB eMMC Storage and Windows 10"|889899501627
Lenovo|Intel® Atom™ x5-Z8550||""|2019-09-28 07:08|https://www.frys.com/product/9082307?site=sr:SEARCH:MAIN_RSLT_PG|ZA1Y0061US|278.07|2|12.2|Fry's|"Lenovo A12 12.2'" 2-in-1 Laptop with Halo Keyboard Intel® Atom™ x5-Z8550, 2GB RAM, 32GB ROM - Rose Gold"|190940821633
Asus|Intel i7 Full HD Gaming Laptop||""|2019-09-28 07:08|https://www.frys.com/product/8650390?site=sr:SEARCH:MAIN_RSLT_PG|GL752VW-DH74|1149|""|17.3|Fry's|Asus ROG 17.3-inch Intel i7 Full HD Gaming Laptop|889349201862
Asus|AMD A10||1000|2019-09-28 07:08|https://www.frys.com/product/8765061?site=sr:SEARCH:MAIN_RSLT_PG|X555DA-WS11|380|""|""|Fry's|Asus X555DA 15.6 Inch Laptop AMD A10, 8 GB, 1TB HDD, Windows 10|889349313107
HP|AMD Quad Core||500|2019-09-28 07:08|https://www.frys.com/product/9031187?site=sr:SEARCH:MAIN_RSLT_PG|14-an090nr|249|4|14.0|Fry's|"HP 14-an090nr, 14'" Laptop With AMD Quad Core Processor, 4GB Memory, 500GB Hard Drive and Windows 10"|190780345191
Asus|Intel Pentium Quad Core 4GB||""|2019-09-28 07:08|https://www.frys.com/product/8765101?site=sr:SEARCH:MAIN_RSLT_PG|E403SA-US21|359|""|14.0|Fry's|Asus VivoBook Intel Pentium Quad Core 4GB, 128GB eMMC 14-inch Full HD Laptop - Metallic Gray|889349338568
Samsung|""||32|2019-09-28 07:08|https://www.frys.com/product/8974463?site=sr:SEARCH:MAIN_RSLT_PG|XE513C24-K01US|499|4|12.3|Fry's|"Samsung ChromeBK Plus 12.3'" 2-in-1 Chrombook with 4GB Memory and 32GB Storage"|887276183961
HP|Intel Core i7-7500U||1000|2019-09-28 07:08|https://www.frys.com/product/9059967?site=sr:SEARCH:MAIN_RSLT_PG|m6-aq105|553.57|16|15.6|Fry's|"HP m6-aq105 Intel Core i7-7500U, 15.6'" Refurbished Touchscreen Laptop With 16GB Memory, 1TB Hard Drive, Windows 10"|190780864111
